record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
5324708,New Entry,"As of 24 March, Trinidad and Tobago advises that all public transportation vehicles should operate with windows open and, where possible, limit their occupancy.",Restriction of Non-Essential Government Services,Trinidad and Tobago,,,Voluntary/Recommended but No Penalties,24/03/2020,https://www.facebook.com/MinistryofHealthTT/photos/pcb.3225627107467075/3225626787467107/?type=3&theater,TTO,TT,0.102972231,10.6918,-61.2225
2104187,New Entry,"On 25 March, Trinidad and Tobago's Ministry of Health advises the population of a fake news post. It states that members of the public are not authorised to use the official letterhead of the Ministry of Health, in any form, and should refrain from doing so. The public is urged to disregard and avoid sharing all unconfirmed, misleading and/or false information about COVID-19.",Public Awareness Campaigns,Trinidad and Tobago,,,Mandatory with Legal Penalties (Jail Time),25/03/2020,http://www.health.gov.tt/sitepages/default.aspx?id=293,TTO,TT,0.111764332,10.6918,-61.2225
4649521,New Entry,"Installation of fever screening by thermal cameras at the entrance to all airports and at sea and land entry points, intended for passengers at risk; from 22/01/2020.
Suspected cases will be followed up in the airport isolation unit for appropriate medical follow-up and sampling and diagnostic tests.
Travelers from risk areas who are non-pyretic at the time of screening, will be actively monitored by telephone for 14 days following the date of departure from the zones at risk, made aware of preventive measures and informed of the need to keep their home and to contact emergency medical services in case of any symptoms.",Health Monitoring,Tunisia,All,Inbound,Mandatory (Unspecified/Implied),22/01/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
7729652,New Entry,Strengthening of collaboration with the Office of Civil Aviation and Airports and airlines for the management of cases on board aircraft by the notification of any suspicious case and the identification of travelers from China and other areas at risk. This identification will be done by a dedicated questionnaire distributed during the flight and collected at the exit of the aircraft by border health control teams. The latter will proceed with the sorting at the exit of the aircraft.,Health Monitoring,Tunisia,"China,Other (please specify below)",Inbound,Mandatory (Unspecified/Implied),22/01/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
8488544,New Entry,"Dissemination of communication messages at air, sea and land entry points, to all travelers through posters, leaflets and an electronic newsletter, aimed at educating travelers about preventive measures, signs and symptoms of the disease as well as the methods of their orientation and management in the event of the appearance of suggestive signs within 14 days of their return from the affected areas.",Public Awareness Campaigns,Tunisia,,,Voluntary/Recommended but No Penalties,22/01/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
2021376,New Entry,A free number to the Emergency medical services (190) is made available to the community for information and reporting of symptoms. Another toll-free number (80 10 19 19) is available to anyone wishing to inquire about the measures taken by Tunisia.,New Task Force or Bureau,Tunisia,,,Voluntary/Recommended but No Penalties,22/01/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
9236731,New Entry,"Development and dissemination of an information sheet at the air, sea and land entry points for all passengers entering Tunisia, in order to document precise information on the travel routes of each passenger and their contact details in Tunisia . This sheet is available in paper and electronic format.",Health Monitoring,Tunisia,All,Inbound,Mandatory (Unspecified/Implied),22/01/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
2030394,New Entry,"Transfer of all flights from Italy to same terminal, in order to guarantee that there is no contact between travelers from this country and the rest of other countries. As a matter of course the Department of Health has provided all the requirements for health monitoring at this station to prevent COVID-19.",Health Monitoring,Tunisia,Italy,Inbound/Outbound,Mandatory (Unspecified/Implied),04/03/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
4459578,New Entry,"Intensification of media and awareness campaigns to raise awareness of the importance of quarantine adherence for travelers returning from at-risk areas, with the aim of ensuring the inclusion of all in the national plan to fight COVID -19. From March 4th.",Public Awareness Campaigns,Tunisia,,,Voluntary/Recommended but No Penalties,04/03/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
7066331,New Entry,"Suspend the exchange of students and student delegations abroad, unless absolutely necessary, while taking the necessary health precautions from March 4th.",External Border Restrictions,Tunisia,All,Inbound/Outbound,Mandatory (Unspecified/Implied),04/03/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
4920569,New Entry,"Suspend the exchange of students and student delegations abroad, unless absolutely necessary, while taking the necessary health precautions from March 4th.",Internal Border Restrictions,Tunisia,All,Inbound/Outbound,Mandatory (Unspecified/Implied),04/03/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
3989641,New Entry,"Ministry of Health calls to carry out training actions for officials and executives of other ministries (education, higher education, transport, etc.) in order to contribute to the awareness-raising effort to combat COVID-19 in Tunisia from March 4th.",Public Awareness Campaigns,Tunisia,,,Voluntary/Recommended but No Penalties,04/03/2020,http://www.onmne.tn/fr/images/COVID-19-bulletin-11-03-2020.pdf,TUN,TN,NA,33.886917,9.537499
7668299,New Entry,"Suspension of all maritime crossings between Tunisia and Italy, limiting itself to a single crossing between Tunisia and France, Tunis / Marseille, instead of two. Suspension of flights to Italy, except to Rome and reduction of the number of flights from 14 to 3 only per week.",External Border Restrictions,Tunisia,"France,Italy",Inbound/Outbound,Mandatory (Unspecified/Implied),09/03/2020,https://news.gnet.tn/abdellatif-mekki-annonce-de-nouvelles-mesures-de-prevention-contre-le-coronavirus/,TUN,TN,NA,33.886917,9.537499
